,date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
13,14/12/2021,,,30.40,30.60,30.25,30.40,,48500,0,24.32,0.00 (0.00 %),1472000000,0
14,13/12/2021,,,30.20,30.85,30.20,30.40,,21600,0,24.32,-0.40 (-1.30 %),660000000,0
15,10/12/2021,,,31.40,31.40,30.45,30.80,,6900,0,24.64,-0.30 (-0.96 %),211000000,0
16,09/12/2021,,,31.10,31.10,30.50,31.10,,15200,0,24.88,0.00 (0.00 %),466000000,0
17,08/12/2021,,,31.50,31.50,30.25,31.10,,39500,0,24.88,1.10 (3.67 %),1215000000,0
18,07/12/2021,,,29.90,30.30,29.90,30.00,,39800,0,24.00,0.10 (0.33 %),1194000000,0
19,06/12/2021,,,29.90,30.30,29.80,29.90,,53400,0,23.92,0.00 (0.00 %),1602000000,0
20,03/12/2021,,,30.05,30.15,29.80,29.90,,39400,0,23.92,-0.40 (-1.32 %),1183000000,0
21,02/12/2021,,,30.50,30.50,29.80,30.30,,35600,0,24.24,0.00 (0.00 %),1075000000,0
2,01/12/2021,,,30.80,30.80,29.95,30.30,,40500,0,24.24,0.80 (2.71 %),1223000000,0
3,30/11/2021,,,29.80,30.40,29.50,29.50,,71500,0,23.60,-0.40 (-1.34 %),2128000000,0
4,29/11/2021,,,28.00,29.90,28.00,29.90,,91000,0,23.92,-0.10 (-0.33 %),2638000000,0
5,26/11/2021,,,30.50,30.50,29.95,30.00,,48900,0,24.00,-0.45 (-1.48 %),1471000000,0
6,25/11/2021,,,30.05,30.45,29.90,30.45,,90000,0,24.36,0.05 (0.16 %),2719000000,0
7,24/11/2021,,,31.50,31.50,30.20,30.40,,22700,0,24.32,-0.05 (-0.16 %),690000000,0
8,23/11/2021,,,29.95,30.45,29.50,30.45,,18400,0,24.36,0.45 (1.50 %),550000000,0
9,22/11/2021,,,30.65,30.65,30.00,30.00,,63300,0,24.00,-0.70 (-2.28 %),1927000000,0
10,19/11/2021,,,31.00,31.30,30.65,30.70,,95000,0,24.56,-0.30 (-0.97 %),2941000000,0
11,18/11/2021,,,31.00,31.15,30.80,31.00,,106600,0,24.80,0.00 (0.00 %),3302000000,0
12,17/11/2021,,,31.80,31.80,30.80,31.00,,64700,0,24.80,-0.20 (-0.64 %),2012000000,0
13,16/11/2021,,,31.00,31.40,30.75,31.20,,128500,0,24.96,0.05 (0.16 %),3998000000,0
14,15/11/2021,,,31.60,31.65,31.00,31.15,,143800,0,24.92,-0.35 (-1.11 %),4495000000,0
15,12/11/2021,,,30.00,31.50,29.70,31.50,,151200,0,25.20,1.20 (3.96 %),4658000000,0
16,11/11/2021,,,30.80,30.80,29.95,30.30,,143500,0,24.24,-0.50 (-1.62 %),4343000000,0
17,10/11/2021,,,31.00,31.00,30.70,30.80,,104600,0,24.64,-0.20 (-0.65 %),3231000000,0
18,09/11/2021,,,31.10,32.20,30.90,31.00,,95700,0,24.80,-0.10 (-0.32 %),2989000000,0
19,08/11/2021,,,30.60,31.80,30.60,31.10,,115200,0,24.88,0.50 (1.63 %),3576000000,0
20,05/11/2021,,,30.65,31.10,30.50,30.60,,77100,0,24.48,0.05 (0.16 %),2363000000,0
21,04/11/2021,,,30.00,30.80,30.00,30.55,,77700,0,24.44,0.05 (0.16 %),2357000000,0
2,03/11/2021,,,30.80,31.35,30.40,30.50,,160300,0,24.40,-0.20 (-0.65 %),4928000000,0
3,02/11/2021,,,30.65,31.50,30.20,30.70,,181200,0,24.56,0.05 (0.16 %),5548000000,0
4,01/11/2021,,,32.00,32.30,30.00,30.65,,217800,0,24.52,-0.40 (-1.29 %),6728000000,0
5,29/10/2021,,,30.00,31.20,29.30,31.05,,274900,0,24.84,1.85 (6.34 %),8496000000,0
6,28/10/2021,,,28.95,29.40,28.20,29.20,,171200,0,23.36,0.85 (3.00 %),4946000000,0
7,27/10/2021,,,28.50,28.50,27.90,28.35,,186000,0,22.68,0.20 (0.71 %),5239000000,0
8,26/10/2021,,,28.80,28.80,27.80,28.15,,83200,0,22.52,0.15 (0.54 %),2336000000,0
9,25/10/2021,,,27.00,28.60,27.00,28.00,,134300,0,22.40,0.70 (2.56 %),3745000000,0
10,22/10/2021,,,27.70,27.70,27.00,27.30,,86500,0,21.84,0.00 (0.00 %),2357000000,0
11,21/10/2021,,,27.20,28.05,27.20,27.30,,34900,0,21.84,-0.60 (-2.15 %),958000000,0
12,20/10/2021,,,28.40,28.40,27.60,27.90,,80500,0,22.32,-0.45 (-1.59 %),2252000000,0
13,19/10/2021,,,27.00,28.95,26.80,28.35,,155600,0,22.68,1.05 (3.85 %),4371000000,0
14,18/10/2021,,,27.45,27.50,27.30,27.30,,83100,0,21.84,-0.20 (-0.73 %),2276000000,0
15,15/10/2021,,,27.60,28.50,27.45,27.50,,80200,0,22.00,-0.10 (-0.36 %),2214000000,0
16,14/10/2021,,,27.60,27.70,27.50,27.60,,90000,0,22.08,0.00 (0.00 %),2483000000,0
17,13/10/2021,,,27.40,27.70,27.35,27.60,,154100,0,22.08,0.15 (0.55 %),4240000000,0
18,12/10/2021,,,27.50,27.50,27.10,27.45,,145700,0,21.96,0.05 (0.18 %),3993000000,0
19,11/10/2021,,,27.60,27.90,27.40,27.40,,167700,0,21.92,0.00 (0.00 %),4610000000,0
20,08/10/2021,,,27.25,27.45,27.20,27.40,,89200,0,21.92,0.00 (0.00 %),2437000000,0
21,07/10/2021,,,28.00,28.00,27.00,27.40,,198900,0,21.92,-0.05 (-0.18 %),5427000000,0
2,06/10/2021,,,26.80,27.50,26.50,27.45,,204500,0,21.96,1.45 (5.58 %),5550000000,0
3,05/10/2021,,,26.75,26.75,25.85,26.00,,25000,0,20.80,-0.05 (-0.19 %),649000000,0
4,04/10/2021,,,26.00,26.80,26.00,26.05,,7500,0,20.84,-0.05 (-0.19 %),196000000,0
5,01/10/2021,,,26.25,26.30,25.50,26.10,,45600,103470,20.88,-0.15 (-0.57 %),1189000000,2529841500
6,30/09/2021,,,26.50,26.50,26.25,26.25,,7400,0,21.00,-0.75 (-2.78 %),194000000,0
7,29/09/2021,,,27.20,27.20,26.70,27.00,,25700,0,21.60,-0.20 (-0.74 %),693000000,0
8,28/09/2021,,,25.30,27.20,25.30,27.20,,7300,0,21.76,0.00 (0.00 %),192000000,0
9,27/09/2021,,,27.55,28.50,25.60,27.20,,99000,0,21.76,-0.10 (-0.37 %),2700000000,0
10,24/09/2021,,,27.30,27.30,27.25,27.30,,11300,0,21.84,0.70 (2.63 %),308000000,0
11,23/09/2021,,,28.00,28.50,26.60,26.60,,59900,0,21.28,-0.40 (-1.48 %),1663000000,0
12,22/09/2021,,,26.10,27.00,26.00,27.00,,101700,0,21.60,0.90 (3.45 %),2678000000,0
13,21/09/2021,,,25.05,26.50,25.05,26.10,,13600,0,20.88,-0.40 (-1.51 %),348000000,0
14,20/09/2021,,,25.00,26.70,25.00,26.50,,75400,0,21.20,1.50 (6.00 %),1956000000,0
15,17/09/2021,,,24.95,25.00,24.40,25.00,,18100,0,20.00,0.00 (0.00 %),450000000,0
16,16/09/2021,,,24.20,25.10,24.00,25.00,,91600,0,20.00,0.80 (3.31 %),2236000000,0
17,15/09/2021,,,24.40,24.50,24.20,24.20,,34900,0,19.36,-0.10 (-0.41 %),851000000,0
18,14/09/2021,,,24.30,24.40,24.30,24.30,,24200,0,19.44,0.00 (0.00 %),588000000,0
19,13/09/2021,,,24.60,24.60,24.20,24.30,,26900,0,19.44,-0.20 (-0.82 %),658000000,0
20,10/09/2021,,,24.20,25.00,24.20,24.50,,12900,0,19.60,0.30 (1.24 %),315000000,0
21,09/09/2021,,,24.20,24.70,24.20,24.20,,11700,0,19.36,0.20 (0.83 %),286000000,0
2,08/09/2021,,,24.80,24.80,23.80,24.00,,4300,0,19.20,0.00 (0.00 %),103000000,0
3,07/09/2021,,,24.60,24.70,24.00,24.00,,40300,0,19.20,-0.70 (-2.83 %),981000000,0
4,06/09/2021,,,25.00,25.00,24.20,24.70,,83300,0,19.76,-0.30 (-1.20 %),2055000000,0
5,01/09/2021,,,25.50,26.00,25.00,25.00,,89100,0,20.00,-0.45 (-1.77 %),2240000000,0
6,31/08/2021,,,24.00,26.00,24.00,25.45,,62300,0,20.36,-0.05 (-0.20 %),1576000000,0
7,30/08/2021,,,24.10,25.50,24.10,25.50,,120900,0,20.40,1.40 (5.81 %),2965000000,0
8,27/08/2021,,,23.90,24.50,23.90,24.10,,41500,0,19.28,0.20 (0.84 %),994000000,0
9,26/08/2021,,,23.05,24.00,23.05,23.90,,4600,0,19.12,0.90 (3.91 %),108000000,0
10,25/08/2021,,,21.60,23.00,21.60,23.00,,21000,0,18.40,0.00 (0.00 %),455000000,0
11,24/08/2021,,,23.00,23.00,23.00,23.00,,300,0,18.40,0.00 (0.00 %),6000000,0
12,23/08/2021,,,23.00,23.05,22.80,23.00,,21300,0,18.40,-1.00 (-4.17 %),489000000,0
13,20/08/2021,,,24.00,24.00,24.00,24.00,,10800,0,19.20,0.00 (0.00 %),259000000,0
14,19/08/2021,,,24.00,24.00,24.00,24.00,,1900,0,19.20,0.00 (0.00 %),45000000,0
15,18/08/2021,,,24.00,24.00,24.00,24.00,,6000,0,19.20,0.00 (0.00 %),144000000,0
16,17/08/2021,,,23.05,24.00,23.05,24.00,,9000,0,19.20,1.00 (4.35 %),212000000,0
17,16/08/2021,,,23.00,23.00,23.00,23.00,,4700,0,18.40,1.00 (4.55 %),108000000,0
18,13/08/2021,,,22.05,22.60,22.00,22.00,,17300,0,17.60,-1.50 (-6.38 %),385000000,0
19,12/08/2021,,,24.00,24.00,23.50,23.50,,3800,0,18.80,0.00 (0.00 %),90000000,0
20,11/08/2021,,,24.80,24.80,23.50,23.50,,12700,0,18.80,-1.50 (-6.00 %),305000000,0
21,10/08/2021,,,22.05,25.00,22.05,25.00,,1600,0,20.00,1.50 (6.38 %),35000000,0
2,09/08/2021,,,22.80,23.50,22.80,23.50,,4700,0,18.80,0.65 (2.84 %),108000000,0
3,06/08/2021,,,22.80,23.00,22.80,22.85,,9700,0,18.28,-1.15 (-4.79 %),222000000,0
4,05/08/2021,,,24.00,24.00,24.00,24.00,,12300,0,19.20,0.00 (0.00 %),295000000,0
5,04/08/2021,,,25.30,25.30,24.00,24.00,,700,0,19.20,-1.40 (-5.51 %),17000000,0
6,03/08/2021,,,25.50,25.50,25.40,25.40,,1900,0,20.32,-0.10 (-0.39 %),48000000,0
7,02/08/2021,,,25.00,25.50,23.75,25.50,,24200,0,20.40,0.00 (0.00 %),575000000,0
8,30/07/2021,,,25.60,25.60,24.00,25.50,,3200,0,20.40,-0.20 (-0.78 %),77000000,0
9,29/07/2021,,,25.70,25.70,24.10,25.70,,4100,0,20.56,-0.20 (-0.77 %),101000000,0
10,28/07/2021,,,27.00,27.00,25.90,25.90,,600,0,20.72,0.45 (1.77 %),15000000,0
11,27/07/2021,,,25.40,25.45,24.00,25.45,,49300,0,20.36,1.65 (6.93 %),1246000000,0
12,26/07/2021,,,23.80,23.80,22.30,23.80,,58700,0,19.04,1.55 (6.97 %),1376000000,0
13,23/07/2021,,,21.00,22.25,20.80,22.25,,54700,0,17.80,1.45 (6.97 %),1194000000,0
14,22/07/2021,,,20.50,20.80,20.50,20.80,,4500,0,16.64,0.80 (4.00 %),93000000,0
15,21/07/2021,,,20.00,20.00,20.00,20.00,,0,0,16.00,0.00 (0.00 %),0,0
16,20/07/2021,,,20.00,20.00,20.00,20.00,,200,0,16.00,0.00 (0.00 %),4000000,0
17,19/07/2021,,,20.50,20.50,20.00,20.00,,6600,0,16.00,-0.50 (-2.44 %),132000000,0
18,16/07/2021,,,20.50,20.50,20.50,20.50,,100,0,16.40,0.50 (2.50 %),2000000,0
19,15/07/2021,,,20.00,20.00,20.00,20.00,,1500,0,16.00,0.00 (0.00 %),30000000,0
20,14/07/2021,,,20.00,20.00,20.00,20.00,,600,0,16.00,-0.20 (-0.99 %),12000000,0
21,13/07/2021,,,20.20,20.20,20.20,20.20,,3000,0,16.16,0.00 (0.00 %),60000000,0
2,12/07/2021,,,20.50,20.50,19.80,20.20,,3800,0,16.16,-0.30 (-1.46 %),76000000,0
3,09/07/2021,,,20.00,20.50,20.00,20.50,,3300,0,16.40,0.50 (2.50 %),66000000,0
4,08/07/2021,,,20.00,20.00,20.00,20.00,,2000,0,16.00,0.00 (0.00 %),40000000,0
5,07/07/2021,,,20.00,20.00,20.00,20.00,,7500,0,16.00,-0.50 (-2.44 %),150000000,0
6,06/07/2021,,,20.50,20.50,20.50,20.50,,2900,0,16.40,0.00 (0.00 %),59000000,0
7,05/07/2021,,,20.50,21.00,20.00,20.50,,15600,0,16.40,-0.50 (-2.38 %),320000000,0
8,02/07/2021,,,21.00,21.00,21.00,21.00,,500,0,16.80,-0.90 (-4.11 %),11000000,0
9,01/07/2021,,,21.50,22.00,21.50,21.90,,3800,0,17.52,0.40 (1.86 %),83000000,0
10,30/06/2021,,,21.50,21.50,21.50,21.50,,6900,0,17.20,0.30 (1.42 %),148000000,0
11,29/06/2021,,,21.40,21.50,21.20,21.20,,11900,0,16.96,0.20 (0.95 %),254000000,0
12,28/06/2021,,,21.00,21.00,21.00,21.00,,1800,0,16.80,0.45 (2.19 %),38000000,0
13,25/06/2021,,,20.55,20.55,20.55,20.55,,0,0,16.44,0.00 (0.00 %),0,0
14,24/06/2021,,,20.55,20.55,20.55,20.55,,200,0,16.44,0.00 (0.00 %),4000000,0
15,23/06/2021,,,20.55,20.55,20.55,20.55,,2700,0,16.44,0.00 (0.00 %),55000000,0
16,22/06/2021,,,20.50,20.75,20.50,20.55,,3300,0,16.44,0.05 (0.24 %),68000000,0
17,21/06/2021,,,20.50,20.50,20.50,20.50,,1100,0,16.40,-0.05 (-0.24 %),23000000,0
18,18/06/2021,,,21.00,21.00,20.55,20.55,,6600,0,16.44,0.25 (1.23 %),139000000,0
19,17/06/2021,,,20.25,20.35,20.20,20.30,,5000,0,16.24,-1.30 (-6.02 %),101000000,0
20,16/06/2021,,,21.60,21.60,21.60,21.60,,100,0,17.28,0.00 (0.00 %),2000000,0
21,15/06/2021,,,22.00,22.00,21.50,21.60,,3600,0,17.28,0.60 (2.86 %),78000000,0
2,14/06/2021,,,20.95,21.00,20.90,21.00,,7600,0,16.80,1.35 (6.87 %),159000000,0
3,11/06/2021,,,20.65,20.65,19.50,19.65,,800,0,15.72,0.35 (1.81 %),16000000,0
4,10/06/2021,,,20.90,21.00,19.30,19.30,,1400,0,15.44,-1.60 (-7.66 %),29000000,0
5,09/06/2021,,,20.65,20.90,20.60,20.90,,1200,0,16.56,-1.10 (-5.00 %),25000000,0
6,08/06/2021,,,22.00,22.00,22.00,22.00,,0,0,17.43,0.00 (0.00 %),0,0
7,07/06/2021,,,22.00,22.00,22.00,22.00,,1000,0,17.43,1.00 (4.76 %),22000000,0
8,04/06/2021,,,20.40,21.50,20.40,21.00,,5300,0,16.64,0.60 (2.94 %),112000000,0
9,03/06/2021,,,20.40,20.40,20.40,20.40,,4500,0,16.16,0.40 (2.00 %),92000000,0
10,02/06/2021,,,20.00,20.00,20.00,20.00,,6300,0,15.85,-0.50 (-2.44 %),126000000,0
11,01/06/2021,,,20.50,20.50,20.00,20.50,,2400,0,16.24,0.00 (0.00 %),48000000,0
12,31/05/2021,,,21.10,21.10,20.50,20.50,,400,0,16.24,0.50 (2.50 %),8000000,0
13,28/05/2021,,,20.00,20.00,20.00,20.00,,1500,0,15.85,-0.30 (-1.48 %),30000000,0
14,27/05/2021,,,20.30,20.30,20.30,20.30,,100,0,16.08,0.20 (1.00 %),2000000,0
15,26/05/2021,,,20.10,20.10,20.10,20.10,,300,0,15.93,0.00 (0.00 %),6000000,0
16,25/05/2021,,,20.10,20.10,20.10,20.10,,0,0,15.93,0.00 (0.00 %),0,0
17,24/05/2021,,,20.10,20.10,20.10,20.10,,0,0,15.93,0.00 (0.00 %),0,0
18,21/05/2021,,,20.10,20.10,20.00,20.10,,7900,0,15.93,0.00 (0.00 %),158000000,0
19,20/05/2021,,,20.00,20.10,20.00,20.10,,5700,0,15.93,0.10 (0.50 %),114000000,0
20,19/05/2021,,,20.00,20.00,20.00,20.00,,0,0,15.85,0.00 (0.00 %),0,0
21,18/05/2021,,,20.00,20.10,20.00,20.00,,2200,0,15.85,0.00 (0.00 %),44000000,0
2,17/05/2021,,,20.00,20.00,20.00,20.00,,6000,0,15.85,-0.50 (-2.44 %),120000000,0
3,14/05/2021,,,20.50,20.50,20.50,20.50,,0,0,16.24,0.00 (0.00 %),0,0
4,13/05/2021,,,20.00,20.50,20.00,20.50,,3200,0,16.24,0.40 (1.99 %),66000000,0
5,12/05/2021,,,20.10,20.10,20.10,20.10,,1000,0,15.93,-0.40 (-1.95 %),20000000,0
6,11/05/2021,,,20.50,20.50,20.50,20.50,,100,0,16.24,0.00 (0.00 %),2000000,0
7,10/05/2021,,,20.50,20.50,20.50,20.50,,0,0,16.24,0.00 (0.00 %),0,0
8,07/05/2021,,,20.50,20.50,20.50,20.50,,700,0,16.24,0.00 (0.00 %),14000000,0
9,06/05/2021,,,20.50,20.50,20.50,20.50,,0,0,16.24,0.00 (0.00 %),0,0
10,05/05/2021,,,20.50,20.50,20.50,20.50,,0,0,16.24,0.00 (0.00 %),0,0
11,04/05/2021,,,20.00,20.50,20.00,20.50,,2500,0,16.24,0.50 (2.50 %),50000000,0
12,29/04/2021,,,20.00,20.00,20.00,20.00,,0,0,15.85,0.00 (0.00 %),0,0
13,28/04/2021,,,20.00,20.00,20.00,20.00,,2900,0,15.85,0.00 (0.00 %),58000000,0
14,27/04/2021,,,20.00,20.60,20.00,20.00,,2500,0,15.85,0.00 (0.00 %),50000000,0
15,26/04/2021,,,20.00,20.00,20.00,20.00,,0,0,15.85,0.00 (0.00 %),0,0
16,23/04/2021,,,20.00,21.50,20.00,20.00,,4700,0,15.85,-0.30 (-1.48 %),95000000,0
17,22/04/2021,,,20.20,20.30,20.20,20.30,,1900,0,16.08,0.10 (0.50 %),38000000,0
18,20/04/2021,,,20.10,20.20,20.10,20.20,,900,0,16.00,0.10 (0.50 %),18000000,0
19,19/04/2021,,,20.00,20.10,20.00,20.10,,3400,0,15.93,0.00 (0.00 %),68000000,0
20,16/04/2021,,,20.10,20.10,20.10,20.10,,1800,0,15.93,0.00 (0.00 %),36000000,0
21,15/04/2021,,,20.00,20.10,19.90,20.10,,11200,0,15.93,0.10 (0.50 %),224000000,0
2,14/04/2021,,,20.00,20.00,20.00,20.00,,7300,0,15.85,0.00 (0.00 %),146000000,0
3,13/04/2021,,,20.00,20.00,20.00,20.00,,500,0,15.85,-0.10 (-0.50 %),10000000,0
4,12/04/2021,,,20.00,20.10,20.00,20.10,,8300,0,15.93,0.10 (0.50 %),166000000,0
5,09/04/2021,,,20.00,20.00,20.00,20.00,,6900,0,15.85,0.00 (0.00 %),138000000,0
6,08/04/2021,,,20.00,20.00,20.00,20.00,,0,0,15.85,0.00 (0.00 %),0,0
7,07/04/2021,,,20.00,20.00,20.00,20.00,,2400,0,15.85,-0.10 (-0.50 %),48000000,0
8,06/04/2021,,,20.00,20.10,20.00,20.10,,1600,0,15.93,0.00 (0.00 %),32000000,0
9,05/04/2021,,,20.00,20.10,20.00,20.10,,4700,0,15.93,0.10 (0.50 %),94000000,0
10,02/04/2021,,,20.00,20.00,20.00,20.00,,3900,0,15.85,-0.10 (-0.50 %),78000000,0
11,01/04/2021,,,20.10,20.10,20.10,20.10,,100,0,15.93,-0.10 (-0.50 %),2000000,0
12,31/03/2021,,,20.05,20.20,20.05,20.20,,1300,0,16.00,0.15 (0.75 %),26000000,0
13,30/03/2021,,,20.05,20.05,20.05,20.05,,0,0,15.89,0.00 (0.00 %),0,0
14,29/03/2021,,,20.05,20.05,20.05,20.05,,100,0,15.89,-0.95 (-4.52 %),2000000,0
