date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
16/02/2022,,,0,60.0,60.2,58.0,-2.00 (-3.33 %),,5866770000,58.84,58.0,99700,0
15/02/2022,,,0,63.5,60.5,59.6,-3.90 (-6.14 %),,4829670000,60.0,59.6,80500,0
14/02/2022,,,0,64.8,64.8,61.0,-3.80 (-5.86 %),,6157630000,63.48,61.0,97000,0
11/02/2022,,,0,65.3,65.3,64.0,-1.30 (-1.99 %),,3886420000,64.77,64.0,60000,0
10/02/2022,,,0,63.6,63.6,65.3,1.70 (2.67 %),,4637100000,65.31,65.3,71000,0
09/02/2022,,,0,61.1,60.5,64.8,3.70 (6.06 %),,6739420000,63.58,64.8,106000,0
08/02/2022,,,0,60.3,59.9,61.0,0.70 (1.16 %),,3372060000,61.09,61.0,55200,0
07/02/2022,,,0,59.4,59.8,60.0,0.60 (1.01 %),,4260900000,60.27,60.0,70700,0
28/01/2022,,,0,59.8,60.3,59.8,0.00 (0.00 %),,2127990000,59.44,59.8,35800,0
27/01/2022,,,0,61.0,60.5,59.8,-1.20 (-1.97 %),,3934750000,59.8,59.8,65800,0
26/01/2022,,,0,59.7,60.0,62.5,2.80 (4.69 %),,2868410000,61.03,62.5,47000,0
25/01/2022,,,0,61.2,60.0,60.6,-0.60 (-0.98 %),,3306080000,59.68,60.6,55400,0
24/01/2022,,,0,63.0,62.9,59.6,-3.40 (-5.40 %),,4647680000,61.15,59.6,76000,0
21/01/2022,,,0,60.3,60.4,62.2,1.90 (3.15 %),,6334520000,62.97,62.2,100600,0
20/01/2022,,,0,59.8,59.9,62.5,2.70 (4.52 %),,4015900000,60.3,62.5,66600,0
19/01/2022,,,0,68.6,60.0,60.2,-8.40 (-12.24 %),,5762220000,59.77,60.2,96400,0
18/01/2022,,,0,75.9,72.8,66.5,-9.40 (-12.38 %),,5528330000,68.59,66.5,80600,0
17/01/2022,,,0,83.0,76.8,73.5,-9.50 (-11.45 %),,5368180000,75.93,73.5,70700,0
14/01/2022,,,0,76.4,87.8,76.8,0.40 (0.52 %),,10187070000,83.02,76.8,122700,0
13/01/2022,,,0,66.5,76.4,76.4,9.90 (14.89 %),,6104360000,76.4,76.4,79900,0
12/01/2022,,,0,57.9,66.5,66.5,8.60 (14.85 %),,119700000,66.5,66.5,1800,0
11/01/2022,,,0,50.4,57.9,57.9,7.50 (14.88 %),,28950000,57.9,57.9,500,0
10/01/2022,,,0,36.0,50.4,50.4,14.40 (40.00 %),,5040000,50.4,50.4,100,0
